職缺名稱,公司名稱,工作地點,薪資範圍,職缺連結,發布日期,截止日期,工作經歷,學歷要求,擅長工具,工作技能,工作內容,職務類別
【杏一醫療用品★福利優】數據分析師_AKA,杏一醫療用品股份有限公司,桃園市龜山區,未提供,https://www.104.com.tw/job/7a06k?jobsource=joblist_list,2025/03/10,,2年以上,大學,ASP.NET; C#; MS SQL; HTML; CSS,資料庫系統管理維護,"【職務內容】
1.數據處理及分析，建立各類管理數據指標，產製相關報表，提供各業管單位觀察與建議。
2.商品營銷分析及數據監測，定期進行分析以提供行銷策略擬定參考。
3.協助各單位了解數據應用、發揮數據應用價值以輔助業管單位建立有效的因應或改善方案。
4.營運改善專案推動與管理。

---------------------------------

●完整的教育訓練   ●透明的升遷制度
●良好的辦公氛圍   ●豐厚的獎金及福利
",軟體工程師; 資料庫管理人員; 網路管理工程師
資料分析師,烏龜移動科技股份有限公司,台北市松山區,未提供,https://www.104.com.tw/job/63jf9?jobsource=joblist_list,2025/03/10,,經歷不拘,大學,R,未提供,"蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘",演算法工程師; 統計精算人員; 市場調查／市場分析
【知名外商-正職代招】(無經驗可)初階數據工程師 Junior Data Engineer,凌我人才發展策略顧問有限公司,桃園市大園區,"月薪40,000~45,000元",https://www.104.com.tw/job/8ndje?jobsource=joblist_bact_n,2025/03/09,,經歷不拘,大學,MS SQL; Tableau; Power BI​; Excel,未提供,"【職務說明】
本職務負責撈取大數據的擷取、處理與報表產製，並協助優化組織運營效率。此職位只須基本之資料庫及excel能力，適合對 數據處理、資料分析 有興趣的新人，並希望發展至 數據工程 (Data Engineering) 或 商業智能 (Business Intelligence, BI) 領域的求職者。

【主要職責】
1. 數據擷取與處理： 透過 SQL 從系統撈取數據，進行數據清理與轉換。
2. 數據管理與存儲： 進行資料庫管理 (DBA) 相關作業，確保數據準確性與可追溯性。
3. 報表製作與視覺化： 使用 Power BI 產製視覺化報表，提供決策支持。
4. 協助數據分析與優化： 協助分析數據，提供洞察並支持運營優化。
5. 跨部門溝通： 需與內部團隊協作，確保數據流程順暢，並與外籍主管進行基本書信溝通。

【馬上投遞，成為數據專業人才！】
如果你熟悉 SQL 資料庫管理，能獨立查詢與處理數據，擅長 Excel 公式與數據清理，甚至具備 Python 數據處理與自動化 經驗，那麼這將是你發揮專長、累積實戰經驗的最佳機會！",數據分析師; 資料工程師; 軟體工程師
行銷客服專員,Cheerspops_合益食品股份有限公司,彰化縣和美鎮,"月薪30,000~36,000元",https://www.104.com.tw/job/8mm8v?jobsource=joblist_bact_n,2025/03/05,,1年以上,學歷不拘,R,網路活動規劃與執行; 社群媒體經營管理; 客訴案件處理; 客戶資料更新維護; 顧客關係管理; 網站流量成效追蹤; 消費者行為,"1、CRM 系統管理

維護並優化 CRM 系統，確保客戶數據完整性與準確性。
分析顧客購買行為，建立客戶分群，制定個人化行銷策略。
老客戶經營 & 提升回購率

2、規劃回購策略（如會員專屬優惠、滿額禮、忠誠計畫）。
設計 會員分級制度，提升客戶忠誠度（VIP 會員計畫、專屬折扣）。
透過 電子郵件、簡訊、LINE@、APP 推播 等方式，與客戶保持互動。
數據分析 & 回購行為優化

3、分析客戶消費數據，找出影響回購率的關鍵因素。
透過數據追蹤與A/B測試，優化客戶再行銷策略。
建立客戶流失預警系統，主動挽回即將流失的客戶（如久未回購者優惠）。
設計客戶專屬行銷活動

4、推動再行銷活動，如生日優惠、周年慶、專屬折扣。
與社群、廣告團隊合作，提高 CRM 行銷活動的觸及率與參與度。
客戶滿意度調查 & 服務優化

5、收集顧客回饋，透過問卷、評論分析客戶滿意度。
針對負評客戶進行個別關懷，提升品牌信任度。
與客服團隊合作，確保客戶體驗持續提升。
跨部門合作

6、與行銷、產品、業務、客服等部門合作，制定更完善的 CRM 策略。
參與企業數位轉型，提升 CRM 整合度與自動化管理能力。

7、回覆官方LINE@與社群平台的訊息。",行銷企劃; 文字客服; 數據分析師
產品企劃專員,奇華餅家_奇華股份有限公司,新北市五股區,"月薪38,000~45,000元",https://www.104.com.tw/job/8mcr1?jobsource=joblist_bact_n,2025/03/05,,經歷不拘,高中,未提供,未提供,"工作內容:
1. 糕餅業相關食品市場調查及分析，並提出開發建議，制定新
   產品上市計畫。
2. 跨部門溝通協調，以利開發專案之執行，同時確認產品本身
   及外包裝等符合法規規範。
3. 確認採購價之合理性，並擬定產品訂價策略。
4. 進行產品上架前置作業，透過產品描述撰文、產品情境攝影 
   設定、行銷文案書寫。
5. 提供行銷部搜集資料，供行銷部進行短中長期行銷宣傳策
   略，並以產品負責人角度給予產品亮點建議。
6. 持續追蹤、協調、維護、陪伴負責的生產夥伴與產品。
7. 進行消費者需求調查與市場趨勢蒐集，提供開發建議
8. 庶務處理，協助部門事務進度追蹤。
9. 其他主管交辦事項。

",行銷企劃; 數據分析師
桃園店 營運管理部 人力優化專員 Staff Planning Specialist,IKEA_宜家家居股份有限公司,桃園市中壢區,"月薪33,000~41,000元",https://www.104.com.tw/job/8lb77?jobsource=joblist_list,2025/03/06,,1年以上,大學,Excel; PowerPoint; Word,數據分析; 資料庫軟體應用,"1. 排班計劃與執行：負責店端員工的排班計劃及優化，確保員工排班能有效支持營運目標；並與各部門主管合作，根據營運狀況進行預測與調整，同時滿足員工、顧客及營運的需求，並遵循勞動法規和內部規範。

2. 績效分析與流程優化：持續監控與排班相關的KPI，並製作相關報告。通過專業的數據分析和流程管理，提升人力資源配置效率，確保持續優化排班及營運流程，並推動改善措施，來為IKEA的長期、持續性的盈利做出貢獻。

3. 數據與成本分析：定期提供銷售數據報表、分析店端相關的KPI及財務報表，尋找可能的機會點，並與管理團隊合作制定可行方案。

4. 效益分析：針對店端營運的人力及成本投入，分析效益並與管理團隊合作確保良好的投資回報率。

",統計精算人員; 數據分析師
【數據應用部】數據應用分析師 Data Analyst,全曜財經資訊股份有限公司,新北市板橋區,未提供,https://www.104.com.tw/job/7eu9x?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,大學,Python; MS SQL; Excel; Tableau; Google Analytics,未提供,"【公司介紹】
CMoney的使命是打造更好的工具，幫助每個人做好人生投資
我們推出的投資分析系統有超過400間海內外金融機構使用
同時我們也持續創新，團隊至今已經推出上百個App產品。

目前已經創造全台灣最大的股票討論社群（股市爆料同學會）
最多人使用的投資分析工具（如：籌碼Ｋ線、艾蜜莉定存股...等）
全台最多活躍使用者的消費型產品(如:發票載具、簡單記帳...)
整體會員人數近千萬! 更多詳細資訊，請參閱以下連結：https://cmy.tw/00BWhP

【CMoney的數據應用分析師】
數據已逐漸成為影響產品與公司決策的重要因素，此職務目標為推動公司與產品專案中，
利用數據進行決策，提升產品營運績效，幫助使用者達到用戶成功目標。

作為數據應用分析師，你的收穫是: 
1.實際參與APP營運，利用數據決策之所有過程(產品開發、行銷推廣、客戶服務...)，完整體驗數據的影響力
2.直接親手處裡所有APP相關數據，知道數據產生與應用的來龍去脈

作為數據應用分析師，你將會: 
1.與負責之專案進行數據需求討論，提出建議與分析方向
2.實作數據決策使用之數據儀表板或分析工具(Tableau、Excel、Google sheet)
3.實作專案所需數據之自動化流程(利用python or SQL實作)
4.針對專案特定主題進行分析(如:特定產品使用情境分析)，利用數據提出解答與解決方法

【希望你是!】
1.熟悉不同種類數據分析工具(Excel、Tableau、google sheet)
2.具備程式化處理數據能力(Python、SQL)
3.具備良好的蒐集資料與分析能力
4.了解如何透過資料轉換為數據、將數據轉變成洞見，進而解決問題
5.具備良好之溝通、協調及表達能力， 願意自己動手做
6.喜好挑戰未知領域

【企業文化】
▲強調員工身心靈一致，只要你有好的想法，沒有什麼事情不能做!
▲鼓勵自我超越，不斷從試錯(try & error)中找到可以做得更好的地方!
▲相信貢獻價值，期待每個夥伴都能幫助團隊/公司變得更好!

CMoney想邀請優秀的你加入
和我們一起走這趟不凡的人生旅程
我們持續優化CMoney企業文化，因為我們相信：

▲偉大的目標：真正的菁英想要有個超越自我的偉大目標
▲一流的同事：菁英真正要的是跟一流的同事共事
▲最好的待遇：提供給同業相同職位上的最高薪資

歡迎你加入這場有意義的挑戰，一起讓世界變得更好！



",軟體專案管理師; 統計學研究員; 市場調查／市場分析
數據工程師,甜栗子工作坊,台北市信義區,"月薪80,000元以上",https://www.104.com.tw/job/8k0cl?jobsource=joblist_list,2025/02/08,,3年以上,專科,Python; PL/SQL,未提供,"工作內容:
1. 運用內外部新形態數據建立模型特徵資料庫、與IT協作采集關鍵數據并優化模型特徵數據運算效能。
2. 依業務需求研發特徵或進行數據加值運算
3. 負責推動機器思考模型自動布署及迭代之系統建設(MLOps & Auto-Retrain)
4. 視專案內容與機器學習以及業務單位共同研發與應用數據產品
5. 與IT合作將數據產品上線提供服務

資格條件:
1. 具備數據相關程式撰寫經驗驗至少2年
2. 熟悉Python、SQL、PySpark語法
3. 熱愛數據工程、特徵工程、研發數據產品
4. 具備data pipeline規劃與實作能力
5. 善於學習、邏輯佳、具有良好溝通與獨立解決問題能力
6. 主動積極抗壓性高，能流暢簡報模型專案
7. 資深數據工程師須具備應用系統專案管理與執行經驗",資料工程師; 資料科學家; 數據分析師
【全球電商】人資 Employee Relation - 員工關係 桃園地區,新加坡商艾得克有限公司台灣分公司,桃園市大園區,未提供,https://www.104.com.tw/job/8n940?jobsource=joblist_list,2025/03/05,,經歷不拘,大學,R,未提供,"通過建立措施來遵守勞動法和公司規範，減少公司法律風險並解決相關問題。
通過回應並解決成為外部問題的法律案件，如提交給勞動關係委員會的案件，促進公司的穩定增長。
積極並持續與內部成員（如勞工工會等）溝通，提前減少不必要的員工關係問題。

資格要求：
具有5年以上處理提交給勞動與就業部及勞動關係委員會的案件經驗，涉及物流或製造行業勞動法律問題、獎懲管理、人事委員會運營、審計、勞資委員會運營和內部VOC響應。
具備勞動法專業知識，對HR人事管理有基本了解。
良好的批判性思維能力及解決非結構性問題的能力。
擁有商業、法律、人力資源或相關領域的學士學位。
良好的溝通技巧。

",數據分析師; 人力資源人員; 系統分析師
【正職】健管部-體檢總表組長/儲備組長,博聯生技股份有限公司,台北市松山區,"月薪38,000~45,000元",https://www.104.com.tw/job/8m1pe?jobsource=joblist_list,2025/03/05,,1年以上,高中,Excel; Word; 中文打字50~75; 英文打字50~75,文書處理╱排版能力; 報表彙整與管理; 文件或資料輸入建檔處理,"1. 工作排程、執行進度與人力控管協調
2. 員工體檢數據總表報告製作
3. 員工特殊作業體檢結果申報
4. 員工體檢數據總結分析
5. 影像報告申請調閱
6. 主管交辦事項",行政人員; 數據分析師
數據分析顧問(Data Analyst Consultant)(擴編招募中),騰雲科技服務股份有限公司,新北市汐止區,未提供,https://www.104.com.tw/job/8iejf?jobsource=joblist_list,2025/03/05,,2年以上,專科,R; Power BI; SQL; SQL Server; Python,數據分析; 報表開發,"✅ 公司簡介
1.AI軟體商騰雲科技(股票代號6870) 是台灣實體場域業者數位轉型解決方案龍頭，其雲端化AI方案結合數據、算法、算力等軟體研發核心及軟硬整合技術，提供多元化解決方案，建構跨國OMO解決方案生態，鎖定整合百貨商場與零售通路客流、商流、金流一站式解決方案。
2.我們經常接觸新興資訊科技、AI人工智慧、數據分析、資料視覺化、軟體開發及整合等議題，服務型態則是陪伴客戶共同構建解決方案、發掘數據洞見與價值，並提供專業的諮詢建議。

✅ 工作簡介
1.協助客戶定義其資料分析、預測等資料應用場景，執行階段包含需求分析、規劃、提案、執行與交付。
2.參與部門的數據應用與整合的產品規劃與研發，並藉由專案go-to market。
3.發想、規劃集團資料應用藍圖，並分為短中長期計畫逐步實施。

✅ 必要條件
1.對數據分析、資料科學有熱誠，進而探究與解讀指標。
2.曾使用分析與預測程式語言、套件或工具，形式不拘。
3.願意從事顧問服務，並注重內外部團隊合作。

✅ 加分條件(擇一)
1.熟悉任一關聯式資料庫(包括但不限於SQL Server)與開發預存程序(Stored Procedure)。 
2.熟悉任一資料視覺化軟體(包括但不限於Qlik Sense, Power BI)。 
3.熟悉資料處理語言(如SQL, Python)，能夠善用該語言相關套件進行資料清洗、轉換。
4.熟悉機器學習庫(如Scikit-learn, PyTorch, Keras)

*薪資待遇 可依學經歷相關經驗另談 
*面試演示專案文件、程式碼、作品集Demo可增加錄取率 
*面試含顧問基礎邏輯測試",數據分析師; 資料科學家; 顧問
Sr. Data Scientist | 資深資料科學家,聯齊科技股份有限公司,台北市南港區,未提供,https://www.104.com.tw/job/8n7ss?jobsource=joblist_bact_n,2025/03/05,,5年以上,大學,Python; PostgreSQL; AWS; Tableau,未提供,"【關於 NextDrive 資料團隊】
NextDrive 資料團隊專注於資料洞察與應用，致力於發揮每一度電的最大價值。資深資料科學家將負責所有客戶的能源效率分析、建模與應用設計，不僅專注於資料分析，更懂得挖掘客戶需求，為客戶創造真正的價值！

【工作內容】
1 與各部門協同合作，執行能源管理算法相關解決方案之穩定運行，執行相關算法的日常維運及資料分析。
2. 分析能源管理系統之用電、發電、儲能相關資料，識別異常原因和潛在問題，提出改善方案並進行可行性評估。
3. 設計並實作能源相關時間序列預測、最佳化、模擬等算法和解決方案。
4. 規劃並導入大數據與算法技術方案，建立相關技術基礎架構，支持業務需求。
5. 構建概念驗證（POC）原型，促進商業專案或新服務模式發展。
6. 與 BD 與產品團隊合作，快速迭代解決方案，實現客戶與公司效益最大化。

【條件要求】
- 工作經歷: 5-10 年資料科學或相關領域工作經驗。
- 學歷要求: 資訊管理、資訊工程、統計學等相關理工領域大學或碩博士畢業。
- 語文條件: 熟悉中英文，具備良好商業溝通與書面報告能力；懂日文者優先考慮。
- 擅長工具: 熟練使用 Python 與相關數據開發工具（如 PostgreSQL、Cassandra、Docker、Airflow、AWS 等）。

【工作能力】
- 具備大數據技術、機器學習與 AI 導入商業專案的實務經驗。
- 熟悉 API 服務開發與部署流程。
- 熟悉數據視覺化工具（如 Tableau、Power BI）。
- 具備快速執行力與靈活應變能力，能適應快速變化的工作環境。
- 優秀的專案管理、組織與簡報能力，能有效協調跨部門合作。
",資料科學家; 數據分析師; 資料工程師
資料科學家實習生-有機會派駐美西,巨量移動科技股份有限公司,台北市內湖區,時薪200元以上,https://www.104.com.tw/job/8j77g?jobsource=joblist_list,2025/03/05,,經歷不拘,大學,Excel; PowerPoint; 中文打字50~75,未提供,"我們歡迎大學在校生或即將畢業的學生申請，並且不限於特定科系。
我們期望您具備對Python或C++的程式語法以及程式邏輯的基本熟悉度。
您應該有處理程式錯誤和軟體環境相關問題的能力。
我們重視快速學習新知識的能力和熱情，因為這對於不斷成長和應對新挑戰非常重要。
團隊合作精神對我們來說很關鍵，我們希望您能有效地協作和溝通。
對於人工智慧領域和數據處理的基本了解或激情是加分項目。

我們歡迎有上進心、願意挑戰自我，並持續追求個人和專業成長的個人申請。

關於我們的詳細職缺內容都可以在面試中確認
我們徵才職缺屬於常態性職缺，會一直開放申請，
只是104平台不一定會一直開啟， 由於有時候同時收到太多履歷 會整理好再開放

公司除了給實習生實習薪資外 另有實習獎學金，至少有人領取超過二萬元台幣。
實習表現良好，且英文溝通良好，2025年有機會派往美西實習

***************************************************************************
如有興趣 若可以請準備個人履歷或相關作品說明
但記得要在104投送履歷!
但記得要在104投送履歷!
但記得要在104投送履歷!
並將個人履歷資料上傳到以下網站 : https://ppt.cc/fPt3lx

檔案命名方式為 
履歷檔案-名字-日期
比如
履歷檔案-張大明-2020815
檔案可以包成同一個壓縮檔)
若可以 內容盡量包含 :
1.大學碩士成績單 
2.研究或專題論文
3. 其他可加分之書面資料
***************************************************************************




",AI工程師; 資料科學家; 數據分析師
"【資訊類】大數據資料平台工程師 (桃園廠) 新人獎勵金 最高$47,000元",景碩科技股份有限公司,桃園市新屋區,未提供,https://www.104.com.tw/job/82jtv?jobsource=joblist_list,2025/03/10,,3年以上,大學,ASP.NET; C#; Python; ETL; Tableau,軟體工程系統開發; 軟體程式設計; 機器學習; AI,"1. 使用ETL工具(Pentaho)進行資料萃取
2. 使用Tableau 進行戰情室 規劃及開發 
3. C#、ASP.NET、Python程式開發 
4. AI平台維運與實作
5. 熟悉 Oracle 、SQL Server、Postgresql等資料庫使用 
6. 團隊合作，需求分析、規劃、開發及管控，並執行交付的項目  
7. 具3年以上工作經驗者佳


▶▶▶期間限定大放送◀◀◀

✅ 新人獎金最高 NT$47,000
加入景碩，立刻獲得肯定!

✅新人績優留任獎金最高 NT$180,000
努力不會被忽視，表現越好，獎金越豐厚!

✅ 介紹獎金最高 NT$60,000
邀請好友一起共享雙倍獎金!",系統分析師; 數據分析師
"AI/數據應用分析師 Data&AI Solution Analyst - 集團徵才(數數發中心, DDT)_I00016333",國泰金控_國泰金融控股股份有限公司,台北市大安區,未提供,https://www.104.com.tw/job/88oyo?jobsource=joblist_list,2025/03/07,,經歷不拘,學歷不拘,未提供,規劃、組織、指導及協調組織內部行政作業; 部門人力成本控制; 預算編製與成本控管; 專案人力資源管理; 專案成本╱品質╱風險管理; 專案時間╱進度控管; 專案採購管理; 專案規劃執行╱範圍管理; 專案溝通╱整合管理; 專案管理架構及專案說明; 工作任務╱業績項目分配; 培育人員職涯發展; 業績目標達成; 督導人員工作績效; 危機與議題管理; 協商談判能力; 部門績效目標管理,"【團隊介紹】
我們是一個充滿熱情與創意的團隊，致力於結合科技與數據驅動保險業的創新變革。在這裡，你將與專業的技術與商業團隊協作，打造下一代智能解決方案，推動產險的數位轉型與智能化發展。

我們相信，未來的保險不僅僅是理賠和風險分攤，更是結合數據與AI技術實現全方位的風險預測與預防。

無論是車險理賠自動化、自然災害風險評估，還是風險預防方案，我們不僅在傳統產險領域引入前沿技術，也正在探索保險科技的無限可能。

如果你熱愛結合商業與技術，並希望將創意和洞察力轉化為可落地的AI解決方案，這裡將是你大展身手的最佳舞台！加入我們，與數據和科技共同塑造保險的未來！

【這份工作需要你/妳】
1. 聚焦商業問題，規劃數據專案與執行：以數據與AI應用為核心，深入了解產險業務需求，規劃並執行可落地的解決方案（例如AI Agent、機器學習預測模型等）。 ",數據分析師; 資料科學家; 演算法工程師
"【海外通路】國際消金商業分析師（數數發中心, DDT）_I00013833",國泰世華商業銀行股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/87owe?jobsource=joblist_list,2025/03/10,,3年以上,學歷不拘,R,工作任務╱業績項目分配; 業績目標達成; 危機與議題管理,"【公司部門簡介 About Us】
「國泰金控」為臺灣服務客戶數最多的領先金融服務業者，並致力於成為亞洲最佳金融機構。「國泰世華銀行」為全臺灣數位服務用戶數的領先銀行，其中「國際消金發展部」致力於海外消金市場的發展，透過國內累積的豐富數位金融服務經驗，持續在東南亞市場打造高品質、創新的數位金融服務體驗。

「國際消金發展部」集結了金融及非金融領域的多元菁英，包括商業開發、網路科技、數據分析、數位行銷等專業人才。我們重視團隊合作文化，以實現東南亞金融生態圈為目標，深入了解世界各國金融服務文化與特色，期待透過多元團隊創造金融服務更多前所未有的可能。

我們是台灣數位金融的領導品牌，為了進一步拓展東南亞市場，現正積極尋找 具邏輯思考能力與問題解析能力的商業分析人才加入我們的團隊！
這個職位將會扮演重要角色，致力於風險分析或數位分析。

【發展與培訓 Development & Training】
我們提供多元的集團培訓資源，包含產品知識、數位行銷、資料分析、使用者體驗等相關專業講座與實戰工作坊，同時也有申請外部進修的補助管道。此外，藉由橫跨業務部門與不同市場的工作環境，助您深化專業領域。

國泰正積極拓展海外市場，我們相信廣納多元背景人才是銀行業在這波潮流邁向頂尖的關鍵，我們誠摯邀請您加入我們，一同踏上這個充滿發展機會的旅程，成為台灣金融業發展海外數位消金平台的引領者! 期待您在這個嶄新且具有挑戰性的環境下，實現個人專業成長、累積市場能見度，一起跟上東南亞數位金融市場的快速成長!

【 職務需求 Job Requirements 】
1. 熟悉一種以上數據分析軟體
2.銀行業務/行銷/風險專業知識，及多元面向分析經驗
3.邏輯思考及問題解析能力
4.良好溝通能力與跨團隊合作能力
5.具3年以上數據分析經驗，具風險分析或數位分析經驗尤佳
",數據分析師
台中中港廠-資訊工程師-W961101,昇陽國際半導體股份有限公司中港分公司,台中市梧棲區,未提供,https://www.104.com.tw/job/8mbtz?jobsource=joblist_list,2025/03/07,,經歷不拘,大學,C#; VBScript,軟體工程系統開發; 軟體程式設計; 資料庫系統管理維護; 資料庫程式設計,"1.MES系統開發與維護。
2.生產相關系統、報表開發與維護。
3.系統網頁撰寫及維護。
4.配合工廠生產作業進行On Call。
5.協助計畫相關行政工作及臨時交辦事項。",數據分析師; 資料庫管理人員
【行政幕僚職】BI數據分析工程師/資深工程師,全一電子股份有限公司,台南市南區,未提供,https://www.104.com.tw/job/8ljkx?jobsource=joblist_list,2025/03/10,,3年以上,專科,C#; Python; MS SQL; PL/SQL; PostgreSQL; Tableau; Power BI​,數據分析,"1. 資料庫維護與優化
   a. 內外部資料整合及收集
   b. 資料庫預存程序 (SP) 管理及效能調整
2.資料清理流程維護及優化
   a. 工作流程規劃、建置及維護
   b. 具 MSBI (MSSQL/SSIS/SSAS/SSRS/FineBI) 使用經驗者尤佳
3.資料分析協作與資料模型產出
  a.與內部客戶共同梳理商業邏輯
  b.內部儀表板、Fine BI(Power BI)等後端資料模型維護
4.確保料安全和隱私保護，遵守相關法律法規
5.開發和維護資料ETL流程
6.實施和管理資料質量控制和數據治理流程
",數據分析師
數據分析專員,台灣優勢客服科技股份有限公司,新北市三重區,未提供,https://www.104.com.tw/job/82a80?jobsource=joblist_bact_n,2025/03/07,,經歷不拘,碩士,未提供,數據分析,"一、職務內容：
1. 商業數據整理與資料標註
2. 商業分析報告製作
3. 其他主管交辦事項，以商業數據分析為主

二、職務條件：
1. 碩士畢業（歡迎應屆畢業生）
2. 對數據敏感，邏輯性強
3. 自主學習力強，對數據分析有熱情
4. 擅用數據分析工具
5. 能將數據分析結果轉化為趨勢預測、商業決策等洞察價值
6. 能指引、協同及支援專案和跨部門合作
7. 具備高度細心及耐心，願意大量整理資料

三、上班時間：週一~週五 09:00-18:00",數據分析師; 市場調查／市場分析; 行銷企劃
Digital Intelligence Navigator 數位智能領航師,台泥企業團_臺泥資訊股份有限公司,台北市中山區,未提供,https://www.104.com.tw/job/8nfhe?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,大學,R,商業智慧; 專案溝通╱整合管理; AI; 機器學習; 人工智慧; Machine Learning; 生成式AI,"我們正在尋找敢於迎接不確定性、具備戰略思維、AI專業能力與高度適應力的行動者 - 
數位智能領航師。這不只是一份工作，而是一場全力以赴的挑戰。你將直屬集團總執行長，與一群最前沿的數位專家共事，推動企業數位轉型、落地AI技術，並在全球市場開疆闢土。

<你的使命>
1. 數位轉型戰略: 推動AI數據應用，橫向整合與高層溝通，突破框架挑戰現狀。你將負責研究、驗證並驅動創新落實全方位推動AI與數據技術的落地應用。
2. 橫向整合與高層溝通: 協助內外部資源整合，有效推動決策落地
3. 推動AI數據應用: 你將負責研究、驗證並驅動創新落實
4. 突破框架挑戰現狀: 以敏捷思維實驗新技術與商業模式
5. 跨國專案參與機會: 確保轉型計畫能符合全球不同市場需求

<你需要具備的特質>
1. AI與數據技術實戰經驗
2. 國際視野與跨文化協作力
3. 膽識與遠見
4. 高度適應力與抗壓性
5. 不受傳統框架限制的思維

獲選者將接受為期三個月的跨事業體培訓，隨即承接數位智能專案，運用內部外部資源，與台灣、大陸、歐洲等不同國籍夥伴合作，快速養成產業關鍵知識，進入台泥的全球決策核心。

<參考新聞> 
https://money.udn.com/money/story/5612/8592105
https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=0d939939-74cd-4ab0-af4f-5239e68a3514",數據分析師; 軟體專案主管; AI工程師
化纖總部/業務智能管理處/商業數據(BA/BI)暨財報分析管理師,遠東新世紀股份有限公司,台北市大安區,"月薪40,000元以上",https://www.104.com.tw/job/8khht?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,大學,Excel; PowerPoint; Power BI​,未提供,"1.產業訊息蒐集
2.同業分析報告定期撰寫 
3.針對營運部門需求，對數據資料建構合適之模型與流程，並持續調整及優化
4.	分析數據指標，並以視覺化平台呈現(Power BI使用者介面開發)",數據分析師
秘書室-專任計畫助理,嘉南藥理大學,台南市仁德區,"月薪35,900元",https://www.104.com.tw/job/8mw54?jobsource=joblist_list,2025/03/10,,3年以上,碩士,Excel; Outlook; PowerPoint; Word,統計軟體操作; 調查樣本統計分析; 數據分析,"1.國際生留臺就業追蹤
2.資料數據分析
3.相關行政工作及主管交辦之相關事項

",行政助理; 行政人員; 數據分析師
J1000 【數據發展部】運營分析師(搜尋/推薦產品),富邦媒體科技股份有限公司(富邦momo),台北市內湖區,未提供,https://www.104.com.tw/job/8ln7t?jobsource=joblist_list,2025/03/10,,2年以上,大學,未提供,未提供,"【工作内容】
1.	每日追蹤搜尋和推薦產品的成效，並定期產出分析洞察報告
2.	具備A/B測試辨識能力，能夠規劃實驗對照機制並進行洞察
3.	擬定產品功能迭代策略，評估產品功能上線的預期效益並設定關鍵指標
4.	具備數據產品營運能力，透過各式數據工具進行監控，並提出優化方案",數據分析師; 市場調查／市場分析; 產品管理師
策略研究處 研究調查組 專員,文化內容策進院,台北市松山區,未提供,https://www.104.com.tw/job/8mr2j?jobsource=joblist_list,2025/03/06,,3年以上,大學,Excel; PowerPoint; Word,統計軟體操作,"1.辦理文化內容產業研究及市場調查，包含調查主題策劃與執行製作、數據和資料蒐集、研究分析與預測，以支援產業經濟觀測及政府決策。
2.具備運用資料分析工具與經驗，熟悉網路數據爬搜與程式語法，精通數個數據統計分析軟體（如:GA、SPSS、SAS、Python、R、SQL等），具實際產業調查或商業研究之數據分析之經驗，提供過往實績尤佳。
3.需要對內跨部門協作及對外部智庫、數據調查單位等溝通。
4.須具備良好的專案管理能力、有條理的表達能力以及清晰的邏輯思維，並具備數字敏感度、細心與耐心。
5.其他臨時交辦事項。",其他專案管理師; 數據分析師; 市場調查／市場分析
【專業支援】員工賦能專業人員_I00017971,國泰世華商業銀行股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/8hq9f?jobsource=joblist_list,2025/03/10,,3年以上,大學,未提供,預算編製與成本控管; 提案與簡報技巧; 文書處理軟體操作; 專案管理軟體操作; 多媒體企劃設計; 規劃與執行教學活動; 設計及使用各種教學媒體,"(1)	負責規劃、設計和執行員工培訓與發展計畫，確保培訓內容符合行業最新趨勢及企業需求。
(2)	與內部團隊及外部合作夥伴合作，開發並引進新的學習資源和技術，提升公司整體培訓水準。
(3)	深入分析培訓數據和平台使用數據，挖掘關鍵洞察，進而優化培訓策略和平台管理，提升整體培訓效果。
(4)	管理與推廣內部學習平台，確保其內容豐富、實用性，並提高其運用效率。",教育訓練人員; 人力資源人員; 數據分析師
